1.903,31.8
1.953,36.3
2.003,39.9
2.102,49
2.202,72.3
2.252,79.1
2.277,88.4
2.302,90.9
2.327,95.1
2.352,96.4
2.376,96.7
2.402,88.8
2.426,83
2.451,70.2
2.476,63.3
2.476,63.3
2.501,54.7
2.551,42.8
2.601,34.4
2.75,19.2
2.8,17.3
2.85,17.4
2.9,17.1
2.949,17.7
2.999,20.3
3.049,27
3.099,45.3
3.144,110.6
3.158,191.9
3.174,432
3.184,797
3.189,1156
3.194,1392
3.199,1363
3.204,1001
3.209,740
3.214,484.6
3.224,244.5
3.249,84.2
3.298,26.1
3.348,16.1
3.398,12.9
3.448,11.7
3.498,11.3
3.548,11.6
3.597,11.3
3.647,11.9
3.697,12.8
3.747,13.8
3.797,14.3
3.847,16.6
3.896,17.6
3.946,23.1
3.996,23.7
4.046,29.5
4.096,34.2
4.145,41.3
4.195,57
4.245,101.7
4.295,253.8
4.32,440
4.345,744
4.37,661
4.395,331.5
4.42,183.4
4.445,110.5
4.494,53.6
4.545,31.6
4.594,19.7
4.644,16.7
4.694,14
4.744,12.7
4.793,12.6
4.843,12.9
4.883,14.1
4.917,14.3
